match_id,city,year,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,victory_result,result_margin,umpire1,umpire2,match_id,over_num,ball,batsman,non_striker,bowler,batsman_runs,total_runs,batting_team,bowling_team
1216509,Sharjah,2020,S Dhawan,Sharjah Cricket Stadium,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Delhi Capitals,wickets,5,KN Ananthapadmanabhan,RK Illingworth,1216509,10,1,F du Plessis,SR Watson,TU Deshpande,6,6,Chennai Super Kings,Delhi Capitals
1216546,Dubai,2020,S Dhawan,Dubai International Cricket Stadium,Delhi Capitals,Kings XI Punjab,Delhi Capitals,bat,Kings XI Punjab,wickets,5,C Shamshuddin,RK Illingworth,1216546,10,1,RR Pant,S Dhawan,Ravi Bishnoi,4,4,Delhi Capitals,Kings XI Punjab
1216504,Dubai,2020,Shivam Mavi,Dubai International Cricket Stadium,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,runs,37,KN Ananthapadmanabhan,C Shamshuddin,1216504,10,1,Shubman Gill,AD Russell,S Gopal,4,4,Kolkata Knight Riders,Rajasthan Royals
1216497,Abu Dhabi,2020,CV Varun,Sheikh Zayed Stadium,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Kolkata Knight Riders,runs,59,CB Gaffaney,PG Pathak,1216497,10,1,N Rana,SP Narine,MP Stoinis,4,4,Kolkata Knight Riders,Delhi Capitals
1216534,Dubai,2020,YS Chahal,Dubai International Cricket Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,runs,10,AY Dandekar,Nitin Menon,1216534,10,1,D Padikkal,AJ Finch,V Shankar,2,2,Royal Challengers Bangalore,Sunrisers Hyderabad
1216531,Sharjah,2020,KL Rahul,Sharjah Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kings XI Punjab,wickets,8,KN Ananthapadmanabhan,C Shamshuddin,1216531,10,1,V Kohli,Washington Sundar,M Ashwin,2,2,Royal Challengers Bangalore,Kings XI Punjab
1216513,Dubai,2020,SR Watson,Dubai International Cricket Stadium,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,Chennai Super Kings,wickets,10,AY Dandekar,Nitin Menon,1216513,10,1,Mandeep Singh,KL Rahul,PP Chawla,2,2,Kings XI Punjab,Chennai Super Kings
1237181,Dubai,2020,TA Boult,Dubai International Cricket Stadium,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Mumbai Indians,wickets,5,CB Gaffaney,Nitin Menon,1237181,10,1,RR Pant,SS Iyer,JJ Bumrah,1,1,Delhi Capitals,Mumbai Indians
1237180,Abu Dhabi,2020,MP Stoinis,Sheikh Zayed Stadium,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Delhi Capitals,runs,17,PR Reiffel,S Ravi,1237180,10,1,SS Iyer,S Dhawan,Rashid Khan,1,1,Delhi Capitals,Sunrisers Hyderabad
1237178,Abu Dhabi,2020,KS Williamson,Sheikh Zayed Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,6,PR Reiffel,S Ravi,1237178,10,1,AB de Villiers,AJ Finch,S Nadeem,0,1,Royal Challengers Bangalore,Sunrisers Hyderabad
1216547,Dubai,2020,AB de Villiers,Dubai International Cricket Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,tie,0,Nitin Menon,PR Reiffel,1216547,10,1,D Padikkal,V Kohli,RD Chahar,1,1,Royal Challengers Bangalore,Mumbai Indians
1216545,Abu Dhabi,2020,Shubman Gill,Sheikh Zayed Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,wickets,7,CB Gaffaney,VK Sharma,1216545,10,1,MK Pandey,WP Saha,KL Nagarkoti,1,1,Sunrisers Hyderabad,Kolkata Knight Riders
1216544,Dubai,2020,RD Gaikwad,Dubai International Cricket Stadium,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Chennai Super Kings,wickets,8,C Shamshuddin,RK Illingworth,1216544,10,1,V Kohli,AB de Villiers,MJ Santner,1,1,Royal Challengers Bangalore,Chennai Super Kings
1216542,Dubai,2020,JM Bairstow,Dubai International Cricket Stadium,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,69,AK Chaudhary,Nitin Menon,1216542,10,1,JM Bairstow,DA Warner,GJ Maxwell,1,1,Sunrisers Hyderabad,Kings XI Punjab
1216541,Abu Dhabi,2020,BA Stokes,Sheikh Zayed Stadium,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals,wickets,8,UV Gandhe,VK Sharma,1216541,10,1,SA Yadav,Ishan Kishan,Kartik Tyagi,1,1,Mumbai Indians,Rajasthan Royals
