bowler,bowling_team,year,over_num,result_margin
TK Curran,Rajasthan Royals,2020,16,4
Ravi Bishnoi,Kings XI Punjab,2020,15,69
PP Chawla,Chennai Super Kings,2020,10,44
V Shankar,Sunrisers Hyderabad,2020,10,10
A Mishra,Delhi Capitals,2020,9,15
R Ashwin,Delhi Capitals,2020,9,88
Rashid Khan,Sunrisers Hyderabad,2020,8,17
TA Boult,Mumbai Indians,2020,8,0
PP Chawla,Chennai Super Kings,2020,8,10
AD Russell,Kolkata Knight Riders,2020,7,82
KV Sharma,Chennai Super Kings,2020,7,6
RD Chahar,Mumbai Indians,2020,7,5
Mohammed Siraj,Royal Challengers Bangalore,2020,6,59
YS Chahal,Royal Challengers Bangalore,2020,6,97
CH Morris,Royal Challengers Bangalore,2020,5,7
CV Varun,Kolkata Knight Riders,2020,5,18
T Natarajan,Sunrisers Hyderabad,2020,5,0
L Ngidi,Chennai Super Kings,2020,5,9
Arshdeep Singh,Kings XI Punjab,2020,4,8
Kartik Tyagi,Rajasthan Royals,2020,4,57
